timestamp,open,high,low,close
2023-01-09 09:00:00+00:00,129.6,130.5,129.6,130.29
2023-01-09 10:00:00+00:00,130.26,130.5,130.15,130.25
2023-01-09 11:00:00+00:00,130.21,130.35,130.02,130.22
2023-01-09 12:00:00+00:00,130.25,130.4,130.16,130.25
2023-01-09 13:00:00+00:00,130.2,130.63,129.955,130.2
2023-01-09 14:00:00+00:00,130.24,132.06,130.13,132.015
2023-01-09 15:00:00+00:00,132.01,133.14,131.96,132.74
2023-01-09 16:00:00+00:00,132.74,133.41,132.67,132.945
2023-01-09 17:00:00+00:00,132.94,132.955,132.25,132.459
2023-01-09 18:00:00+00:00,132.46,132.64,131.19,131.395
2023-01-09 19:00:00+00:00,131.39,131.726,130.59,130.67
2023-01-09 20:00:00+00:00,130.68,130.82,129.89,130.19
2023-01-09 21:00:00+00:00,130.19,131.709,130.04,130.1
2023-01-09 22:00:00+00:00,130.12,130.12,130.03,130.04
2023-01-09 23:00:00+00:00,130.05,130.07,129.95,130.04
2023-01-10 00:00:00+00:00,130.01,130.04,129.76,129.85
2023-01-10 09:00:00+00:00,130.02,130.28,129.84,130.13
2023-01-10 10:00:00+00:00,130.17,130.5,130.1,130.5
2023-01-10 11:00:00+00:00,130.44,130.46,130.01,130.12
2023-01-10 12:00:00+00:00,130.12,130.12,129.32,129.75
2023-01-10 13:00:00+00:00,130.0334,130.4385,129.3,129.85
2023-01-10 14:00:00+00:00,129.88,131.2636,129.51,129.99
2023-01-10 15:00:00+00:00,129.99,130.8367,128.12,129.09
2023-01-10 16:00:00+00:00,129.1,129.23,128.66,128.88
2023-01-10 17:00:00+00:00,128.87,129.86,128.45,129.73
2023-01-10 18:00:00+00:00,129.73,130.27,129.42,130.225
2023-01-10 19:00:00+00:00,130.23,130.69,129.98,130.115
2023-01-10 20:00:00+00:00,130.115,130.75,129.76,130.75
2023-01-10 21:00:00+00:00,130.75,130.8,130.66,130.7
2023-01-10 22:00:00+00:00,130.71,130.76,130.7,130.72
2023-01-10 23:00:00+00:00,130.72,130.76,130.58,130.75
2023-01-11 00:00:00+00:00,130.75,130.99,130.75,130.97
2023-01-11 09:00:00+00:00,130.95,131.3,130.8,131.05
2023-01-11 10:00:00+00:00,131.21,131.32,130.96,130.96
2023-01-11 11:00:00+00:00,130.96,131.18,130.8,130.8
2023-01-11 12:00:00+00:00,130.88,130.94,130.46,130.7
2023-01-11 13:00:00+00:00,130.85,131.68,130.404,131.5
2023-01-11 14:00:00+00:00,131.5,131.59,130.46,130.8781
2023-01-11 15:00:00+00:00,130.895,132.1084,130.49,131.475
2023-01-11 16:00:00+00:00,131.48,132.37,131.375,132.29
2023-01-11 17:00:00+00:00,132.3,132.93,132.2296,132.75
2023-01-11 18:00:00+00:00,132.76,133.24,132.21,132.4001
2023-01-11 19:00:00+00:00,132.41,132.87,132.165,132.5299
2023-01-11 20:00:00+00:00,132.53,133.51,132.495,133.48
2023-01-11 21:00:00+00:00,133.48,133.5,133.14,133.43
2023-01-11 22:00:00+00:00,133.42,133.47,133.35,133.44
2023-01-11 23:00:00+00:00,133.44,133.47,133.36,133.44
2023-01-12 00:00:00+00:00,133.45,133.49,133.39,133.49
2023-01-12 09:00:00+00:00,134.0,134.0,133.32,133.8
2023-01-12 10:00:00+00:00,133.75,133.75,133.41,133.64
2023-01-12 11:00:00+00:00,133.63,133.69,133.42,133.64
2023-01-12 12:00:00+00:00,133.64,134.16,133.5,134.16
2023-01-12 13:00:00+00:00,133.6302,134.61,131.5,134.33
2023-01-12 14:00:00+00:00,134.35,134.66,131.44,132.3
2023-01-12 15:00:00+00:00,132.3,133.795,132.15,132.445
2023-01-12 16:00:00+00:00,132.45,133.1705,131.99,133.08
2023-01-12 17:00:00+00:00,133.08,134.22,132.815,133.72
2023-01-12 18:00:00+00:00,133.715,134.19,132.42,134.025
2023-01-12 19:00:00+00:00,134.02,134.11,133.01,133.3501
2023-01-12 20:00:00+00:00,133.355,133.56,132.77,133.385
2023-01-12 21:00:00+00:00,133.385,133.45,133.1501,133.22
2023-01-12 22:00:00+00:00,133.2,133.5,133.18,133.201
2023-01-12 23:00:00+00:00,133.2,133.27,133.13,133.2
2023-01-13 00:00:00+00:00,133.19,133.25,133.12,133.12
2023-01-13 09:00:00+00:00,133.43,133.6,133.06,133.37
2023-01-13 10:00:00+00:00,133.3,133.34,133.14,133.16
2023-01-13 11:00:00+00:00,133.06,133.12,132.6,132.78
2023-01-13 12:00:00+00:00,132.89,132.89,132.13,132.15
2023-01-13 13:00:00+00:00,132.8,133.41,131.82,132.02
2023-01-13 14:00:00+00:00,132.02,132.9328,131.66,132.565
2023-01-13 15:00:00+00:00,132.54,133.97,132.4,133.75
2023-01-13 16:00:00+00:00,133.75,133.96,132.755,133.2131
2023-01-13 17:00:00+00:00,133.21,133.6,133.1301,133.539
2023-01-13 18:00:00+00:00,133.54,134.38,133.3,134.1365
2023-01-13 19:00:00+00:00,134.14,134.42,133.89,134.1309
2023-01-13 20:00:00+00:00,134.14,134.92,134.07,134.7
2023-01-13 21:00:00+00:00,134.7,134.78,134.42,134.52
2023-01-13 22:00:00+00:00,134.59,134.63,134.52,134.59
